feature,mutual_info,conditional_entropy,reduction_pct
depth,1.010415972419925,4.611507617599346,17.972780245781703
counts_remaining,0.7158826160253353,4.906040973993936,12.73376638018094
seed,0.299492299993366,5.322431290025905,5.32722110498018
decl_id,0.299492299993366,5.322431290025905,5.32722110498018
team0_counts,0.270475592046747,5.3514479979725245,4.81108623615818
team1_counts,0.1478520478297023,5.474071542189569,2.629919198691839
leader,0.011006804949313498,5.610916785069958,0.1957836098813959
hand_balance,0.010772315263349874,5.611151274755922,0.19161262316823746
player,0.010288644597383545,5.611634945421888,0.18300932825997865
team,0.008169330042673728,5.613754259976598,0.145312007747258
trick_len,0.005758139188039912,5.6161654508312315,0.10242293577704378
