depth,n_states,lzma_ratio,entropy,v_unique
1,7756,0.2037132542547705,2.7314406609487802,12
2,7756,0.1371841155234657,2.7314406609487802,12
3,7756,0.13099535843218155,2.7314406609487802,12
4,7756,0.11036616812790098,2.7314406609487802,12
5,1086239,0.10409127273095516,3.4596873981042067,25
6,683498,0.10151895104301695,3.367091648320805,25
7,415944,0.10272536687631027,3.325636370910641,25
8,207972,0.09797472736714558,3.199951679464694,25
9,2232789,0.10285253107212548,3.637150604401818,39
10,1185358,0.10041185869585391,3.429253478835428,37
11,603729,0.10138986200762262,3.3907467551202988,37
12,201243,0.09789160368310948,3.2039605576080867,34
13,502349,0.11092686558547941,3.669834400255613,44
14,246980,0.10794396307393311,3.3843234717507364,42
15,121648,0.11426410627383927,3.34777588389899,41
16,30412,0.13034328554517954,3.1952381498067455,28
17,31222,0.1668054576900903,3.63755374518189,37
18,15828,0.1662875916098054,3.3123799972148493,30
19,7730,0.17179818887451487,3.1792185147909446,26
20,1546,0.32341526520051744,3.2041711024263124,19
21,1088,0.39338235294117646,3.4491796308961145,25
22,448,0.45535714285714285,2.458184339448838,13
23,270,0.562962962962963,2.639815755404509,12
