domino_id,pips,points,decl_id,decl_name,n_samples,lock_rate
8,3-2,5,0,blanks,7,0.42857142857142855
8,3-2,5,1,ones,7,0.42857142857142855
8,3-2,5,4,fours,8,0.5
8,3-2,5,6,sixes,5,0.2
8,3-2,5,7,doubles-trump,5,0.2
8,3-2,5,8,doubles-suit,8,0.375
8,3-2,5,9,notrump,8,0.5
8,3-2,5,2,twos,6,0.6666666666666666
8,3-2,5,3,threes,5,0.4
8,3-2,5,5,fives,6,0.5
11,4-1,5,0,blanks,7,0.42857142857142855
11,4-1,5,1,ones,7,0.8571428571428571
11,4-1,5,4,fours,8,0.75
11,4-1,5,6,sixes,5,0.4
11,4-1,5,7,doubles-trump,5,0.8
11,4-1,5,8,doubles-suit,8,0.375
11,4-1,5,9,notrump,8,0.5
11,4-1,5,2,twos,6,0.5
11,4-1,5,3,threes,5,0.8
11,4-1,5,5,fives,6,0.3333333333333333
15,5-0,5,0,blanks,7,0.8571428571428571
15,5-0,5,1,ones,7,0.42857142857142855
15,5-0,5,4,fours,8,0.625
15,5-0,5,6,sixes,5,0.6
15,5-0,5,7,doubles-trump,5,0.6
15,5-0,5,8,doubles-suit,8,0.5
15,5-0,5,9,notrump,8,0.25
15,5-0,5,2,twos,6,0.6666666666666666
15,5-0,5,3,threes,5,0.2
15,5-0,5,5,fives,6,0.5
20,5-5,10,0,blanks,7,0.5714285714285714
20,5-5,10,1,ones,7,0.7142857142857143
20,5-5,10,4,fours,8,0.625
20,5-5,10,6,sixes,5,0.8
20,5-5,10,7,doubles-trump,5,1.0
20,5-5,10,8,doubles-suit,8,0.875
20,5-5,10,9,notrump,8,1.0
20,5-5,10,2,twos,6,0.8333333333333334
20,5-5,10,3,threes,5,0.6
20,5-5,10,5,fives,6,1.0
25,6-4,10,0,blanks,7,0.5714285714285714
25,6-4,10,1,ones,7,0.7142857142857143
25,6-4,10,4,fours,8,1.0
25,6-4,10,6,sixes,5,0.8
25,6-4,10,7,doubles-trump,5,0.6
25,6-4,10,8,doubles-suit,8,0.875
25,6-4,10,9,notrump,8,0.5
25,6-4,10,2,twos,6,0.8333333333333334
25,6-4,10,3,threes,5,0.4
25,6-4,10,5,fives,6,0.6666666666666666
