base_seed,total_states,critical_in_all,critical_in_any,critical_consistent,critical_inconsistent,consistency_rate,mean_q_gap
0,5000,36,1586,12,24,0.3333333333333333,2.072
1,5000,85,1854,25,60,0.29411764705882354,2.7062666666666666
2,5000,30,2015,10,20,0.3333333333333333,2.8788
3,5000,23,2001,4,19,0.17391304347826086,2.7886666666666664
4,5000,22,1563,1,21,0.045454545454545456,1.9857333333333336
5,5000,9,1407,2,7,0.2222222222222222,1.6681333333333332
6,5000,21,1593,6,15,0.2857142857142857,2.1961333333333335
7,5000,17,1218,8,9,0.47058823529411764,1.4128
8,5000,28,1303,8,20,0.2857142857142857,2.0058666666666665
9,5000,9,1004,3,6,0.3333333333333333,1.4346666666666665
10,5000,52,1743,14,38,0.2692307692307692,2.928533333333333
11,5000,10,1360,5,5,0.5,1.939466666666667
12,5000,19,1157,8,11,0.42105263157894735,1.5701333333333332
13,5000,29,1802,16,13,0.5517241379310345,2.719066666666667
14,5000,81,1742,25,56,0.30864197530864196,2.7238666666666664
15,5000,49,1136,20,29,0.40816326530612246,1.5356
16,5000,25,1478,8,17,0.32,2.2024
17,5000,25,998,6,19,0.24,1.2270666666666667
18,5000,21,1464,5,16,0.23809523809523808,2.0277333333333334
19,5000,37,1380,9,28,0.24324324324324326,2.3358666666666665
20,5000,15,1313,1,14,0.06666666666666667,1.7582666666666669
21,5000,76,1809,20,56,0.2631578947368421,2.6958666666666664
22,5000,20,1254,11,9,0.55,1.8512
23,5000,29,2043,8,21,0.27586206896551724,3.1094666666666666
24,5000,21,1599,7,14,0.3333333333333333,2.0992
25,5000,13,1583,3,10,0.23076923076923078,1.936
26,5000,154,1693,126,28,0.8181818181818182,3.0762666666666663
27,5000,19,1642,2,17,0.10526315789473684,1.9124
28,5000,34,1329,11,23,0.3235294117647059,1.9530666666666665
29,5000,8,859,1,7,0.125,1.1065333333333331
30,5000,32,1175,19,13,0.59375,1.7882666666666664
31,5000,0,1229,0,0,1.0,1.5113333333333332
32,5000,24,1377,11,13,0.4583333333333333,2.085866666666667
33,5000,37,1900,5,32,0.13513513513513514,2.3081333333333336
34,5000,57,1702,29,28,0.5087719298245614,2.376933333333333
35,5000,4,1066,2,2,0.5,1.2804
36,5000,25,1502,6,19,0.24,1.8990666666666667
37,5000,22,1697,2,20,0.09090909090909091,2.0596
38,5000,15,1112,11,4,0.7333333333333333,1.5624
39,5000,14,822,7,7,0.5,1.1637333333333333
40,5000,11,1684,5,6,0.45454545454545453,2.2564
41,5000,12,1158,5,7,0.4166666666666667,1.4857333333333331
42,5000,23,1830,6,17,0.2608695652173913,2.7314666666666665
43,5000,26,2233,5,21,0.19230769230769232,3.0265333333333335
44,5000,2,516,2,0,1.0,0.6254666666666667
45,5000,7,1665,1,6,0.14285714285714285,1.9732
46,5000,28,1615,15,13,0.5357142857142857,2.3894666666666664
47,5000,17,1867,2,15,0.11764705882352941,2.4862666666666664
48,5000,44,1413,27,17,0.6136363636363636,2.121066666666666
49,5000,33,1400,22,11,0.6666666666666666,2.148
