base_seed,n_states,mean_info_gain,median_info_gain,max_info_gain,agreement_rate
0,1022,0.32061317168414316,0.0,18.0,0.7664709719504239
1,715,1.3212121259221385,0.0,10.666666984558105,0.7678321678321678
2,231,0.37518036365509033,0.0,3.3333334922790527,0.8701298701298701
3,691,-0.3333333221484771,0.0,7.333333333333334,0.5933429811866859
4,70,-0.6380952204976763,0.0,3.9736429924275285e-08,0.8523809523809524
5,889,0.22497187554836273,0.0,10.666666030883789,0.8687664041994752
6,437,0.4363081655049488,0.0,7.3333330154418945,0.7139588100686499
7,2055,1.401297650758754,0.0,16.0,0.6968369829683698
8,279,0.4838709836934772,0.0,6.000000635782877,0.9283154121863799
9,752,0.2898936134280888,0.0,7.333333492279053,0.8781028368794325
10,725,-0.1949425275435393,0.0,10.666666984558105,0.5471264367816091
11,58,2.2413792610168457,0.0,7.333333492279053,0.5977011494252873
12,1603,0.8195051244227844,0.6666666865348816,9.333333412806192,0.7024329382407986
13,293,-0.1387940820166682,0.0,3.3333334922790527,0.9215017064846417
14,2498,1.6136909702125153,0.0,13.333333969116211,0.6204963971176941
15,522,1.2943805938403419,0.33333349227905273,6.000000635782877,0.7420178799489144
16,877,0.1835803922162406,0.0,7.333333492279053,0.9308247814519194
17,71,0.0,0.0,0.0,1.0
18,500,0.15066667091846467,0.0,4.0,0.868
19,363,0.4481175458135684,0.0,5.666666666666666,0.733700642791552
21,863,0.6442641972252281,0.0,17.33333396911621,0.7060641174198533
22,360,0.2629629671573639,0.0,10.666666984558105,0.775925925925926
23,353,1.1048158407211304,0.6666665077209473,18.66666603088379,0.7082152974504249
24,213,0.3067292869091034,0.0,6.666666507720947,0.8012519561815336
25,702,0.4710351228713989,0.0,10.0,0.8157644824311491
26,1131,1.8199233876246461,1.9868214962137642e-08,13.333333969116211,0.5988800471559091
27,805,0.30973085327918487,0.0,7.333333492279053,0.782608695652174
28,159,0.0,0.0,0.0,0.8301886792452831
29,903,-0.019564413923141746,0.0,8.666666030883789,0.843484680693983
30,636,0.5576519994865674,0.0,5.333333651224772,0.7028301886792453
31,15,0.8000000026490953,0.0,4.0,0.4888888888888888
32,601,-0.3316694339711469,0.0,5.666666666666666,0.834165280088741
33,33,0.4444444179534912,0.0,4.0,0.6464646464646464
34,496,0.21438171426134722,0.0,10.0,0.5880376344086021
35,843,0.4029260578128179,0.0,7.333333969116211,0.7829181494661922
36,345,0.6028985381126404,0.0,14.0,0.7729468599033815
37,6,0.0,0.0,0.0,1.0
38,281,-0.6097271671498797,0.0,7.333333492279053,0.7378410438908659
39,713,0.40719963174771345,0.0,10.666666984558105,0.8592800374006546
40,416,0.13141025602817535,0.0,7.3333330154418945,0.8084935897435899
41,585,-2.0866097020967054,-2.333333333333333,0.0,0.7612535612535614
42,613,0.10821098695312137,0.0,7.3333330154418945,0.873300706905927
43,686,0.13751213715943003,0.0,10.666666984558105,0.7225461613216715
44,2025,0.0,0.0,0.0,0.894485596707819
45,499,0.5918503735729592,0.0,12.0,0.730126920507682
46,616,0.6433982716720084,0.0,14.0,0.6655844155844156
47,369,0.8635953018658853,0.0,10.666666030883789,0.4878048780487805
48,103,0.0,0.0,0.0,0.941747572815534
49,1633,0.8093488499823335,0.33333333333333304,18.0,0.47132067768932434
