feature,coefficient,ci_low,ci_high,ci_width,std_error,significant
total_pips,0.1102800568048492,-0.36737420655747116,0.6055223043391547,0.9728965108966259,0.2517079765682906,False
count_points,0.22269930145767836,-0.10628150626073218,0.5307829690727648,0.637064475333497,0.15896294512643705,False
n_singletons,-0.30599454262289205,-3.7439480695164464,3.549663879984534,7.29361194950098,1.871354343309641,False
n_5_high,-0.5181623454558619,-3.2906026727332245,2.1387240966833314,5.429326769416556,1.440886897904638,False
max_suit_length,-0.6843618556468529,-6.191780525540333,4.379018931672886,10.57079945721322,2.671411489222637,False
n_6_high,-1.5682197810367415,-5.004434022497833,1.7633728664064823,6.767806888904315,1.7547129346609411,False
n_voids,2.780131276696687,-3.5258049292318785,8.90260324905333,12.428408178285208,3.121278765514142,False
has_trump_double,2.8003776641576805,-2.55510939974199,8.434799302270058,10.989908702012048,2.854334423364331,False
trump_count,3.175277116714395,1.2606299223269388,4.748774453786784,3.488144531459845,0.8811382005146151,True
n_doubles,5.741922838753284,2.2724523580343243,9.215436078806203,6.9429837207718785,1.7748371887245191,True
