feature,mean_abs_shap,mean_shap,std_shap
total_pips,2.083898389539344,-0.04847055128522079,3.0724233367363785
trump_count,1.2558262651151586,-0.02797115674985619,1.6195601889167477
count_points,1.0096516292484097,-0.019909830983696645,1.264026094505231
n_5_high,0.9884124500328939,-0.02533804298044241,1.5224318806407044
n_singletons,0.8493765152756965,0.007788457561436047,1.0071122004618387
n_voids,0.7705977244140197,-0.006967069563855906,1.0382769824598383
n_doubles,0.6996140124885589,-0.04038007806011248,0.9608233854317435
max_suit_length,0.539543145663802,0.06765658827068656,1.0089822388948653
n_6_high,0.4674196615385317,0.13959423932834633,0.6673038895017326
has_trump_double,0.23775557867073122,-0.01673539522358499,0.41916762712267863
